displacement,force
0.0,0.0
0.00014464503542689335,3448275.8620689656
0.0002892900708537867,6896551.724137931
0.0004339351062806805,10344827.586206896
0.0005785801417075734,13793103.448275862
0.000723225177134466,17241379.310344826
0.000867870212561361,20689655.172413792
0.001012515247988254,24137931.03448276
0.0011571602834151468,27586206.896551725
0.0013018053188420394,31034482.75862069
0.001446450354268932,34482758.62068965
0.0015910953896958247,37931034.48275862
0.001735740425122722,41379310.344827585
0.001880385460549612,44827586.20689655
0.002025030495976508,48275862.06896552
0.002169675531403403,51724137.93103448
0.0023143205668302936,55172413.79310345
0.0024589656022571873,58620689.655172415
0.002603610637684079,62068965.51724138
0.0027482556731109804,65517241.37931035
0.002892900708537864,68965517.2413793
0.0030375457439647574,72413793.10344827
0.0031821907793916494,75862068.96551724
0.003326835814818549,79310344.8275862
0.003471480850245444,82758620.68965517
0.0036161258856723328,86206896.55172414
0.003760770921099224,89655172.4137931
0.003905415956526118,93103448.27586207
0.004050060991953016,96551724.13793103
0.004194706027379903,100000000.0
